20090905-1005,7,66,280,158,28,1,0,7,24,30,8,1
20090912-1005,41,88,547,186,250,2,0,1,28,49,23,7
20090919-1005,21,64,408,165,106,1,0,5,23,30,16,3
20090926-1005,21,69,384,127,69,1,1,6,19,37,15,3
20091010-1005,7,86,429,187,159,1,3,6,42,34,21,1
20091017-1005,17,77,455,200,134,2,1,5,34,30,19,3
20091024-1005,14,65,404,191,0,0,2,8,25,24,9,2
20091031-1005,10,66,310,204,31,0,1,7,28,24,12,2
20091107-1005,28,89,459,261,168,2,0,4,35,40,25,4
20091113-1005,17,78,428,135,112,1,1,7,34,29,16,3
20091120-1005,20,73,542,259,171,0,1,8,32,30,21,4
20091127-1005,28,65,478,117,193,2,1,6,18,36,14,4
20090905-1008,34,98,632,230,268,0,1,10,30,49,22,7
20090912-1008,40,81,664,241,275,1,0,7,24,42,26,7
20090919-1008,53,85,684,263,260,0,1,2,28,45,28,9
20090926-1008,35,81,557,291,134,1,0,7,24,41,18,5
20091003-1008,38,83,565,148,204,3,0,6,26,42,18,6
20091010-1008,22,91,478,154,200,4,1,4,35,41,17,6
20091017-1008,20,72,553,92,264,1,2,10,20,38,17,4
20091024-1008,12,67,330,120,136,1,1,1,29,30,16,4
20091107-1008,24,84,541,276,176,1,0,4,34,38,24,5
20091114-1008,31,70,514,192,252,3,0,3,18,40,17,5
20091121-1008,45,85,541,109,313,3,0,5,16,56,26,7
20091127-1008,26,81,418,218,73,1,0,4,32,35,17,5
20091205-1008,32,80,577,239,251,1,0,1,18,53,26,6
20100107-1008,37,80,332,58,205,4,1,5,12,51,16,6
20090905-1009,44,73,655,221,295,1,2,14,16,39,20,7
20090912-1009,33,86,609,226,222,2,1,6,37,34,20,5
20090919-1009,14,78,360,109,176,1,0,8,29,35,18,3
20090926-1009,19,79,442,74,229,0,0,11,25,35,13,4
20091001-1009,30,76,351,23,222,1,0,4,13,47,14,6
20091017-1009,13,75,494,121,230,0,0,6,21,40,18,3
20091024-1009,7,77,555,200,232,0,0,15,27,34,16,1
20091031-1009,38,72,574,141,234,2,0,8,16,41,18,6
20091107-1009,56,68,715,292,330,2,0,6,19,35,24,8
20091114-1009,31,82,560,376,111,0,1,4,26,42,22,5
20091121-1009,21,85,627,247,273,0,1,3,27,49,24,4
20091128-1009,27,78,585,322,205,2,0,5,35,32,22,4
20090905-1028,50,87,586,208,199,4,0,8,30,39,20,10
20090919-1028,38,85,537,220,118,2,0,12,33,34,15,6
20090926-1028,17,76,353,116,88,2,0,8,32,28,14,3
20091003-1028,17,103,488,338,68,1,1,10,58,31,26,3
20091010-1028,27,83,500,190,220,2,3,6,33,37,22,4
20091017-1028,24,78,514,295,169,2,1,9,36,27,24,4
20091024-1028,14,69,426,161,129,0,1,10,30,25,15,2
20091031-1028,21,72,473,247,82,0,1,11,30,26,15,3
20091107-1028,9,98,448,266,81,1,1,9,50,33,23,2
20091114-1028,21,86,365,127,84,1,0,9,32,38,14,3
20091121-1028,13,67,421,197,118,0,5,9,22,33,17,2
20091128-1028,17,82,440,217,86,0,1,10,33,30,14,3
20090905-1029,19,88,512,202,246,1,1,5,30,46,24,5
20090912-1029,34,84,645,194,365,2,1,5,28,47,27,5
20090919-1029,17,63,441,105,148,1,0,4,26,25,8,3
20090926-1029,37,81,444,254,134,2,0,6,34,33,25,5
20091010-1029,33,96,610,384,77,1,0,8,53,30,26,7
20091017-1029,43,81,734,415,138,1,2,9,52,14,23,7
20091024-1029,27,91,514,247,209,0,2,2,35,46,27,4
20091107-1029,48,89,717,177,294,0,0,5,24,54,27,8
20091114-1029,16,83,417,201,73,2,1,8,41,28,18,3
20091121-1029,41,101,609,314,127,1,1,8,47,35,22,7
20091128-1029,20,82,428,148,117,0,0,3,43,23,13,4
20091205-1029,21,82,385,239,82,1,0,6,40,29,17,3
20091230-1029,0,62,256,46,63,0,0,2,31,20,6,0
20090905-1030,61,82,629,138,358,0,1,7,14,53,26,9
20090912-1030,9,67,322,131,143,0,1,3,20,38,15,2
20090926-1030,27,66,470,235,70,0,3,7,27,25,13,5
20091003-1030,21,75,442,216,80,2,1,3,40,25,17,3
20091013-1030,10,89,372,234,29,1,1,16,39,34,18,2
20091024-1030,27,86,547,154,276,1,1,9,22,48,22,5
20091031-1030,13,76,403,303,45,1,0,3,41,25,18,3
20091107-1030,18,65,329,182,57,0,1,8,24,28,12,3
20091114-1030,18,74,422,168,176,0,0,2,27,36,18,5
20091121-1030,14,82,434,176,44,1,1,15,28,36,13,2
20091128-1030,30,89,622,240,244,1,0,11,28,46,23,5
20091203-1030,24,65,451,146,101,1,2,7,20,34,13,4
20090905-1031,48,85,709,447,144,2,0,8,41,30,29,8
20090919-1031,41,83,636,408,77,1,1,11,39,24,17,7
20090926-1031,7,84,359,191,63,0,0,11,41,26,14,1
20091003-1031,47,74,639,271,163,0,2,7,27,31,16,8
20091010-1031,44,96,647,274,221,0,0,5,37,45,28,7
20091017-1031,20,80,502,224,133,0,0,10,27,34,13,4
20091024-1031,17,70,490,254,45,2,0,6,34,22,13,3
20091031-1031,63,72,763,297,292,1,2,7,27,30,23,9
20091107-1031,33,73,497,329,76,1,0,1,27,36,17,5
20091114-1031,56,81,647,405,187,3,0,9,30,35,28,8
20091121-1031,42,76,462,313,83,0,0,4,34,27,22,6
20091128-1031,30,89,498,227,148,1,0,4,39,35,24,6
20100102-1031,20,71,427,202,81,2,1,4,36,20,10,4
20090905-1037,37,93,622,255,301,1,2,8,27,52,27,7
20090912-1037,49,98,721,199,390,2,0,5,24,59,29,7
20090919-1037,41,89,585,300,100,5,0,5,33,41,20,7
20090926-1037,54,78,730,306,254,0,1,9,29,34,21,8
20091003-1037,26,98,608,235,224,0,0,3,35,48,24,6
20091010-1037,23,80,564,133,242,1,3,8,29,35,15,4
20091017-1037,14,89,336,95,220,0,0,10,25,49,16,2
20091024-1037,10,74,278,81,112,0,2,7,20,41,15,2
20091031-1037,33,83,541,226,175,2,1,6,24,43,18,5
20091107-1037,63,84,780,373,282,1,2,7,30,39,30,9
20091114-1037,24,79,602,238,115,0,0,9,28,38,18,4
20091127-1037,21,75,436,181,151,0,1,8,27,32,15,3
20100101-1037,38,91,653,235,190,5,2,12,33,39,18,6
20090903-1047,10,72,385,140,169,1,1,4,35,24,16,2
20090912-1047,16,73,252,114,13,0,2,4,34,26,9,4
20090919-1047,17,75,493,254,121,0,0,6,35,28,20,3
20090926-1047,30,87,426,114,146,1,2,4,30,44,19,6
20091003-1047,30,93,453,234,76,1,0,4,41,38,23,6
20091010-1047,19,73,395,237,53,0,3,8,37,23,15,3
20091017-1047,17,85,545,131,273,0,0,6,30,42,18,3
20091024-1047,29,79,551,1,463,0,2,5,10,57,19,4
20091031-1047,17,59,355,78,169,2,0,9,9,38,11,3
20091112-1047,20,71,352,134,149,1,1,9,19,40,14,4
20091118-1047,3,58,349,105,126,0,1,0,17,35,13,1
20091124-1047,22,72,414,71,155,4,0,3,16,41,10,5
20090905-1051,24,77,458,169,197,3,1,10,25,37,18,4
20090919-1051,22,59,427,119,147,0,2,2,27,21,11,3
