2010,1005,AKRON,Mid-American,East,0
2010,1006,ALABAMA A&M,FCS,,0
2010,1007,ALABAMA ST.,FCS,,0
2010,1008,ALABAMA,SEC,West,1
2010,1009,UAB,Conference-USA,East,0
2010,1017,ALCORN ST.,FCS,,0
2010,1027,APPALACHIAN ST.,FCS,,0
2010,1028,ARIZONA ST.,Pac-10,,1
2010,1029,ARIZONA,Pac-10,,1
2010,1030,ARKANSAS ST.,Sun Belt,,0
2010,1031,ARKANSAS,SEC,West,1
2010,1037,AUBURN,SEC,West,1
2010,1047,BALL ST.,Mid-American,West,0
2010,1048,CHARLESTON SO.,FCS,,0
2010,1051,BAYLOR,Big XII,South,1
2010,1066,BOISE ST.,Western Athletic,,0
2010,1067,BOSTON COLLEGE,ACC,Atlantic,1
2010,1071,BOWLING GREEN,Mid-American,East,0
2010,1077,BYU,Mountain West,,0
2010,1086,BUFFALO,Mid-American,East,0
2010,1090,CAL POLY,FCS,,0
2010,1096,FRESNO ST.,Western Athletic,,0
2010,1102,SACRAMENTO ST.,FCS,,0
2010,1107,CALIFORNIA,Pac-10,,1
2010,1108,UC DAVIS,FCS,,0
2010,1110,UCLA,Pac-10,,1
2010,1127,CENTRAL CONN. ST.,FCS,,0
2010,1128,UCF,Conference-USA,East,0
2010,1129,CENTRAL MICH.,Mid-American,West,0
2010,1140,CINCINNATI,Big East,,1
2010,1141,CITADEL,FCS,,0
2010,1147,CLEMSON,ACC,Atlantic,1
2010,1149,COASTAL CARO.,FCS,,0
2010,1156,COLORADO ST.,Mountain West,,0
2010,1157,COLORADO,Big XII,North,1
2010,1164,CONNECTICUT,Big East,,1
2010,1178,DELAWARE ST.,FCS,,0
2010,1180,DELAWARE,FCS,,0
2010,1193,DUKE,ACC,Coastal,1
2010,1196,EAST CARO.,Conference-USA,East,0
2010,1196,EAST CAROLINA,Conference-USA,East,0
2010,1201,EASTERN ILL.,FCS,,0
2010,1202,EASTERN KY.,FCS,,0
2010,1204,EASTERN MICH.,Mid-American,West,0
2010,1207,EASTERN WASH.,FCS,,0
2010,1228,FLORIDA A&M,FCS,,0
2010,1229,FLA. ATLANTIC,Sun Belt,,0
2010,1231,FIU,Sun Belt,,0
2010,1234,FLORIDA ST.,ACC,Atlantic,1
2010,1235,FLORIDA,SEC,East,1
2010,1244,FURMAN,FCS,,0
2010,1253,GA. SOUTHERN,FCS,,0
2010,1255,GEORGIA TECH,ACC,Coastal,1
2010,1257,GEORGIA,SEC,East,1
2010,1261,GRAMBLING,FCS,,0
2010,1277,HAWAII,Western Athletic,,0
2010,1283,HOFSTRA,FCS,,0
2010,1288,HOUSTON,Conference-USA,West,0
2010,1290,HOWARD,FCS,,0
2010,1294,IDAHO ST.,FCS,,0
2010,1295,IDAHO,Western Athletic,,0
2010,1299,ILLINOIS ST.,FCS,,0
2010,1301,ILLINOIS,Big Ten,,1
2010,1305,INDIANA ST.,FCS,,0
2010,1306,INDIANA,Big Ten,,1
2010,1311,IOWA ST.,Big XII,North,1
2010,1312,IOWA,Big Ten,,1
2010,1314,JACKSON ST.,FCS,,0
2010,1315,JACKSONVILLE ST.,FCS,,0
2010,1317,JAMES MADISON,FCS,,0
2010,1327,KANSAS ST.,Big XII,North,1
2010,1328,KANSAS,Big XII,North,1
2010,1331,KENT ST.,Mid-American,East,0
2010,1334,KENTUCKY,SEC,East,1
2010,1355,LIBERTY,FCS,,0
2010,1365,LSU,SEC,West,1
2010,1366,LOUISIANA TECH,Western Athletic,,0
2010,1367,LOUISVILLE,Big East,,1
2010,1380,MAINE,FCS,,0
2010,1388,MARSHALL,Conference-USA,East,0
2010,1392,MARYLAND,ACC,Atlantic,1
2010,1400,MASSACHUSETTS,FCS,,0
2010,1402,MCNEESE ST.,FCS,,0
2010,1404,MEMPHIS,Conference-USA,East,0
2010,1414,MIAMI (OH),Mid-American,East,0
2010,1415,MIAMI (FL),ACC,Coastal,1
2010,1416,MICHIGAN ST.,Big Ten,,1
2010,1418,MICHIGAN,Big Ten,,1
2010,1419,MIDDLE TENN.,Sun Belt,,0
2010,1428,MINNESOTA,Big Ten,,1
2010,1430,MISSISSIPPI ST.,SEC,West,1
2010,1433,MISSISSIPPI,SEC,West,1
2010,1434,MISSOURI,Big XII,North,1
2010,1440,MONTANA ST.,FCS,,0
2010,1444,MOREHEAD ST.,FCS,,0
2010,1446,MORGAN ST.,FCS,,0
2010,1454,MURRAY ST.,FCS,,0
2010,1457,NORTH CAROLINA,ACC,Coastal,1
2010,1463,NEBRASKA,Big XII,North,1
2010,1465,UNLV,Mountain West,,0
2010,1466,NEVADA,Western Athletic,,0
2010,1469,NEW HAMPSHIRE,FCS,,0
2010,1472,NEW MEXICO ST.,Western Athletic,,0
2010,1473,NEW MEXICO,Mountain West,,0
2010,1483,NICHOLLS ST.,FCS,,0
2010,1485,NORFOLK ST.,FCS,,0
2010,1488,N.C. A&T,FCS,,0
2010,1489,N.C. CENTRAL,FCS,,0
2010,1490,NORTH CAROLINA ST.,ACC,Atlantic,1
2010,1493,NORTH DAKOTA ST.,FCS,,0
2010,1494,NORTH DAKOTA,FCS,,0
2010,1497,NORTH TEXAS,Sun Belt,,0
2010,1498,LA.-MONROE,Sun Belt,,0
2010,1500,NORTHEASTERN,FCS,,0
2010,1501,NORTHERN ARIZ.,FCS,,0
2010,1502,NORTHERN COLO.,FCS,,0
2010,1503,NORTHERN ILL.,Mid-American,West,0
2010,1508,NORTHWESTERN ST.,FCS,,0
2010,1509,NORTHWESTERN,Big Ten,,1
2010,1513,NOTRE DAME,Independents,,1
2010,1518,OHIO ST.,Big Ten,,1
2010,1519,OHIO,Mid-American,East,0
2010,1521,OKLAHOMA ST.,Big XII,South,1
2010,1522,OKLAHOMA,Big XII,South,1
2010,1528,OREGON ST.,Pac-10,,1
2010,1529,OREGON,Pac-10,,1
2010,1539,PENN ST.,Big Ten,,1
2010,1545,PITTSBURGH,Big East,,1
2010,1550,PORTLAND ST.,FCS,,0
2010,1559,PURDUE,Big Ten,,1
2010,1572,RHODE ISLAND,FCS,,0
2010,1574,RICE,Conference-USA,West,0
2010,1575,RICHMOND,FCS,,0
2010,1587,RUTGERS,Big East,,1
2010,1624,SAM HOUSTON ST.,FCS,,0
2010,1626,SAN DIEGO ST.,Mountain West,,0
2010,1630,SAN JOSE ST.,Western Athletic,,0
2010,1647,SOUTH CAROLINA ST.,FCS,,0
2010,1648,SOUTH CAROLINA,SEC,East,1
2010,1651,SOUTH FLA.,Big East,,1
2010,1655,SOUTHEASTERN LA.,FCS,,0
2010,1657,SOUTHERN CALIFORNIA,Pac-10,,1
2010,1663,SMU,Conference-USA,West,0
2010,1664,SOUTHERN MISS.,Conference-USA,East,0
2010,1665,SOUTHERN U.,FCS,,0
2010,1667,SOUTHERN UTAH,FCS,,0
2010,1670,TEXAS ST.,FCS,,0
2010,1671,LA.-LAFAYETTE,Sun Belt,,0
2010,1674,STANFORD,Pac-10,,1
2010,1676,STEPHEN F. AUSTIN,FCS,,0
2010,1688,SYRACUSE,Big East,,1
2010,1690,TEMPLE,Mid-American,East,0
2010,1691,TENNESSEE ST.,FCS,,0
2010,1692,TENNESSEE TECH,FCS,,0
2010,1693,CHATTANOOGA,FCS,,0
2010,1694,TENNESSEE,SEC,East,1
2010,1697,TEXAS A&M,Big XII,South,1
2010,1698,TCU,Mountain West,,0
2010,1699,TEXAS SOUTHERN,FCS,,0
2010,1700,TEXAS TECH,Big XII,South,1
2010,1703,TEXAS,Big XII,South,1
2010,1704,UTEP,Conference-USA,West,0
2010,1709,TOLEDO,Mid-American,West,0
2010,1711,TOWSON,FCS,,0
2010,1716,TROY,Sun Belt,,0
2010,1718,TULANE,Conference-USA,West,0
2010,1719,TULSA,Conference-USA,West,0
2010,1721,AIR FORCE,Mountain West,,0
2010,1725,ARMY,Independents,,0
2010,1726,NAVY,Independents,,0
2010,1731,UTAH ST.,Western Athletic,,0
2010,1732,UTAH,Mountain West,,0
2010,1736,VANDERBILT,SEC,East,1
2010,1739,VILLANOVA,FCS,,0
2010,1742,VIRGINIA TECH,ACC,Coastal,1
2010,1746,VIRGINIA,ACC,Coastal,1
2010,1749,WAKE FOREST,ACC,Atlantic,1
2010,1754,WASHINGTON ST.,Pac-10,,1
2010,1756,WASHINGTON,Pac-10,,1
2010,1758,WEBER ST.,FCS,,0
2010,1768,WEST VIRGINIA,Big East,,1
2010,1771,WESTERN ILL.,FCS,,0
2010,1772,WESTERN KY.,Sun Belt,,0
2010,1774,WESTERN MICH.,Mid-American,West,0
2010,1796,WISCONSIN,Big Ten,,1
2010,1811,WYOMING,Mountain West,,0
