#Game Name,Date,Time (EST),Team1Name,Team1Id,Team2Name,Team2Id
Gildan New Mexico Bowl,20121215,1300,Arizona,1029,Nevada,1466
Famous Idaho Potato Bowl,20121215,1630,Toledo,1709,Utah State,1731
San Diego Country Credit Union Poinettia Bowl,20121220,2000,BYU,1077,San Diego St.,1626
Beef 'O' Brady's St. Petersburg Bowl,20121221,1930,Ball St.,1047,UCF,1128
R+L Carriers New Orleans Bowl,20121222,1200,East Carolina,1196,LA-Lafayette,1671
MAACO Las Vegas Bowl,20121222,1530,Boise State,1066,Washington,1756
Sheraton Hawaii Bowl,20121224,2000,Fresno State,1096,SMU,1663
Little Caesar's Bowl,20121226,1930,Central Michigan,1129,Western Kentucky,1772
Military Bowl Presented by Northrop Grumman,20121227,1500,Bowling Green,1071,San Jose State,1630
Belk Bowl,20121227,1830,Cincinnati,1140,Duke,1193
Bridgepoint Education Holiday Bowl,20121227,2145,Baylor,1051,UCLA,1110
AdvoCare V100 Independence Bowl,20121228,1400,LA-Monroe,1498,Ohio,1519
Russell Athletic Bowl,20121228,1730,Rutgers,1587,Virginia Tech,1742
Meineke Car Care of Texas Bowl,20121228,2100,Minnesota,1428,Texas Tech,1700
Bell Helicopter Armed Forces Bowl,20121229,1145,Rice,1574,Air Force,1721
Kraft Fight Hunger Bowl,20121229,1515,Arizona State,1028,Navy,1726
New Era Pinstripe Bowl,20121229,1515,Syracuase,1688,West Virginia,1768
Valero Alamo Bowl,20121229,1845,Oregon State,1528,Texas,1703
Buffalo Wild Wings Bowl,20121229,2215,Michigan State,1416,TCU,1698
Franklin American Mortgage Music City Bowl,20121231,1205,North Carolina State,1490,Vanderbilt,1736
Hyundai Sun Bowl,20121231,1400,Georgia Tech,1255,USC,1657
AutoZone Liberty Bowl,20121231,1530,Iowa State,1311,Tulsa,1719
Chick-fil-A Bowl,20121231,1930,Clemson,1147,LSU,1365
Taxslayer.com Gator Bowl,20130101,1200,Mississippi State,1430,Northwestern,1509
Capital One Bowl,20130101,1300,Georgia,1257,Nebraska,1463
Outback Bowl,20130101,1300,Michigan,1418,South Carolina,1648
Discover Orange Bowl,20130101,2030,Florida State,1234,Northern Ill.,1503
Rose Bowl Game presented by Visio,20130101,1700,Stanford,1674,Wisconsin,1796
Heart of Dallas Bowl,20130101,1200,Oklahoma State,1521,Purdue,1559
Allstate Sugar Bowl,20130102,2030,Florida,1235,Louisville,1367
Tostitos Fiesta Bowl,20130103,2030,Kansas St.,1327,Oregon,1529
AT&T Cotton Bowl Classic,20130104,2000,Oklahoma,1522,Texas A&M,1697
BBVA Compass Bowl,20130105,1300,Mississippi,1433,Pittsburgh,1545
GoDaddy.com Bowl,20130106,2100,Arkansas St.,1030,Kent State,1331
Discover BCS National Championship Game,20130107,2030,Alabama,1008,Notre Dame,1513
