#Week,Date,GameID,Site,NumPoss,HomeID,HomeName,HomeScore,AwayID,AwayName,AwayScore,HomeYards,AwayYards,HomePass,AwayPass,HomeRush,AwayRush,HomeTOs,AwayTOs,HomePen,AwayPen,HomePassPlays,AwayPassPlays,HomeRunPlays,AwayRunPlays,HomeFirstDowns,AwayFirstDowns,HomeScores,AwayScores
887,20170826,20170826-1400-1277,MASSACHUSETTS,175,1400,MASSACHUSETTS,35,1277,HAWAII,38,537,663,298,391,115,112,2,1,5,9,34,38,41,35,20,18,5,6
887,20170826,20170826-1156-1528,COLORADO ST.,186,1156,COLORADO ST.,58,1528,OREGON ST.,27,669,565,334,304,191,152,2,5,8,3,39,47,43,29,31,23,10,5
887,20170826,20170826-1630-1651,SAN JOSE ST.,232,1630,SAN JOSE ST.,22,1651,SOUTH FLA.,42,448,612,278,233,109,315,3,0,9,10,50,26,38,74,18,29,4,6
887,20170827,20170827-1574-1674,NEUTRAL,161,1574,RICE,7,1674,STANFORD,62,323,690,95,369,146,287,2,0,6,4,24,37,38,36,14,27,1,10
888,20170831,20170831-1428-1086,MINNESOTA,175,1428,MINNESOTA,17,1086,BUFFALO,7,466,294,239,211,169,51,1,1,4,4,32,42,51,22,21,13,3,1
888,20170831,20170831-1128-1231,UCF,171,1128,UCF,61,1231,FIU,17,773,478,439,201,148,134,2,4,9,14,33,31,45,26,31,13,9,3
888,20170831,20170831-1028-1472,ARIZONA ST.,188,1028,ARIZONA ST.,37,1472,NEW MEXICO ST.,31,506,576,321,398,79,151,0,2,1,6,30,58,40,30,19,27,6,5
888,20170831,20170831-1404-1498,MEMPHIS,182,1404,MEMPHIS,37,1498,LA.-MONROE,29,604,560,97,279,319,146,2,4,10,8,25,37,39,49,16,25,6,4
888,20170831,20170831-1306-1518,INDIANA,213,1306,INDIANA,21,1518,OHIO ST.,49,565,693,420,304,17,292,3,0,5,5,68,35,27,51,25,26,3,8
888,20170831,20170831-1521-1719,OKLAHOMA ST.,191,1521,OKLAHOMA ST.,59,1719,TULSA,24,792,503,308,188,332,244,2,2,5,6,26,38,37,60,25,26,9,4
888,20170901,20170901-1503-1067,NORTHERN ILL.,203,1503,NORTHERN ILL.,20,1067,BOSTON COLLEGE,23,432,431,203,191,164,148,1,1,8,8,39,42,35,50,18,21,4,5
888,20170901,20170901-1157-1156,NEUTRAL,172,1157,COLORADO,17,1156,COLORADO ST.,3,356,397,202,309,143,88,2,3,7,10,29,47,38,33,19,23,3,1
888,20170901,20170901-1204-1458,EASTERN MICH.,168,1204,EASTERN MICH.,24,1458,CHARLOTTE,7,487,364,267,114,126,166,2,3,10,11,31,29,41,35,19,13,4,1
888,20170901,20170901-1229-1726,FLA. ATLANTIC,159,1229,FLA. ATLANTIC,19,1726,NAVY,42,350,555,286,110,40,416,2,2,4,2,33,10,24,68,16,23,4,6
888,20170901,20170901-1796-1731,WISCONSIN,166,1796,WISCONSIN,59,1731,UTAH ST.,10,646,413,244,219,234,85,2,4,9,9,23,41,45,27,25,16,9,2
888,20170901,20170901-1587-1756,RUTGERS,157,1587,RUTGERS,14,1756,WASHINGTON,30,393,498,178,284,131,84,2,0,4,6,35,30,42,24,19,17,2,6
888,20170902,20170902-1539-1005,PENN ST.,158,1539,PENN ST.,52,1005,AKRON,0,719,236,322,86,247,73,1,1,5,9,31,29,34,34,24,12,8,0
888,20170902,20170902-1257-1027,GEORGIA,160,1257,GEORGIA,31,1027,APPALACHIAN ST.,10,416,325,147,148,221,136,2,0,8,11,20,32,44,32,18,12,5,2
888,20170902,20170902-1463-1030,NEBRASKA,192,1463,NEBRASKA,43,1030,ARKANSAS ST.,36,578,622,238,415,225,82,0,2,8,9,32,68,38,21,25,32,7,6
888,20170902,20170902-1301-1047,ILLINOIS,156,1301,ILLINOIS,24,1047,BALL ST.,21,355,399,145,204,71,171,1,2,3,2,19,34,30,51,14,21,4,3
888,20170902,20170902-1416-1071,MICHIGAN ST.,164,1416,MICHIGAN ST.,35,1071,BOWLING GREEN,10,552,391,250,145,215,67,3,1,4,4,36,31,46,24,25,9,5,2
888,20170902,20170902-1365-1077,NEUTRAL,136,1365,LSU,27,1077,BYU,0,526,193,183,102,296,-5,0,1,10,5,18,24,57,14,26,6,5,0
888,20170902,20170902-1457-1107,NORTH CAROLINA,192,1457,NORTH CAROLINA,30,1107,CALIFORNIA,35,598,561,221,363,219,106,3,2,7,9,44,38,45,35,28,20,5,5
888,20170902,20170902-1008-1234,NEUTRAL,148,1008,ALABAMA,24,1234,FLORIDA ST.,7,303,270,96,210,173,40,0,3,5,4,18,33,42,27,13,15,5,1
888,20170902,20170902-1037-1253,AUBURN,163,1037,AUBURN,41,1253,GA. SOUTHERN,7,570,115,184,8,351,70,3,1,4,3,26,9,53,47,25,8,7,1
888,20170902,20170902-1147-1331,CLEMSON,158,1147,CLEMSON,56,1331,KENT ST.,3,713,202,312,1,353,119,1,0,4,11,35,5,43,44,34,5,8,1
888,20170902,20170902-1664-1334,SOUTHERN MISS.,165,1664,SOUTHERN MISS.,17,1334,KENTUCKY,24,406,352,309,176,55,78,3,1,8,8,40,20,38,35,19,12,3,4
888,20170902,20170902-1559-1367,NEUTRAL,191,1559,PURDUE,28,1367,LOUISVILLE,35,484,686,293,378,51,146,4,3,6,16,57,46,21,33,25,27,4,7
888,20170902,20170902-1703-1392,TEXAS,178,1703,TEXAS,41,1392,MARYLAND,51,715,681,375,219,98,263,2,1,11,10,53,15,31,43,26,18,6,8
888,20170902,20170902-1149-1400,COASTAL CARO.,168,1149,COASTAL CARO.,38,1400,MASSACHUSETTS,28,518,613,80,362,321,79,0,2,6,7,18,45,47,26,20,23,6,4
888,20170902,20170902-1388-1414,MARSHALL,166,1388,MARSHALL,31,1414,MIAMI (OH),26,565,484,208,298,59,131,2,2,6,5,30,44,25,42,15,25,5,5
888,20170902,20170902-1235-1418,NEUTRAL,157,1235,FLORIDA,17,1418,MICHIGAN,33,352,473,181,218,11,215,3,2,5,7,26,26,27,49,9,19,3,7
888,20170902,20170902-1509-1466,NORTHWESTERN,178,1509,NORTHWESTERN,31,1466,NEVADA,20,557,452,352,199,156,142,2,2,8,6,38,37,50,26,27,19,5,4
888,20170902,20170902-1433-1646,MISSISSIPPI,158,1433,MISSISSIPPI,47,1646,SOUTH ALA.,27,702,390,429,204,102,170,1,0,7,3,35,31,29,37,23,25,8,5
888,20170902,20170902-1490-1648,NEUTRAL,178,1490,NORTH CAROLINA ST.,28,1648,SOUTH CAROLINA,35,583,413,415,215,89,31,2,1,8,6,64,29,35,21,29,12,4,5
888,20170902,20170902-1513-1690,NOTRE DAME,174,1513,NOTRE DAME,49,1690,TEMPLE,16,669,517,184,245,422,85,1,1,4,6,30,35,44,37,26,18,7,3
888,20170902,20170902-1522-1704,OKLAHOMA,146,1522,OKLAHOMA,56,1704,UTEP,7,725,212,496,94,180,73,0,1,5,5,36,27,38,21,35,11,8,1
888,20170902,20170902-1066-1716,BOISE ST.,166,1066,BOISE ST.,24,1716,TROY,13,584,293,210,139,147,76,2,3,7,8,32,34,44,29,19,11,4,3
888,20170902,20170902-1419-1736,MIDDLE TENN.,147,1419,MIDDLE TENN.,6,1736,VANDERBILT,28,235,395,166,296,49,71,1,0,4,6,31,28,26,35,14,15,1,4
888,20170902,20170902-1657-1774,SOUTHERN CALIFORNIA,169,1657,SOUTHERN CALIFORNIA,49,1774,WESTERN MICH.,31,648,545,289,94,232,263,2,1,9,6,33,23,34,48,25,24,7,5
888,20170902,20170902-1312-1811,IOWA,148,1312,IOWA,24,1811,WYOMING,3,376,253,125,174,138,59,4,2,3,5,15,40,41,30,16,15,4,1
888,20170903,20170903-1110-1697,UCLA,211,1110,UCLA,45,1697,TEXAS A&M,44,668,601,491,89,63,382,3,0,7,5,59,30,25,63,28,23,7,8
888,20170903,20170903-1742-1768,NEUTRAL,197,1742,VIRGINIA TECH,31,1768,WEST VIRGINIA,24,575,589,235,371,234,221,0,1,5,9,27,54,45,35,21,29,5,4
888,20170904,20170904-1255-1694,NEUTRAL,183,1255,GEORGIA TECH,41,1694,TENNESSEE,42,692,478,120,221,535,148,2,0,4,2,10,37,86,22,33,18,6,6
889,20170908,20170908-1559-1519,PURDUE,159,1559,PURDUE,44,1519,OHIO,21,591,446,295,223,263,173,0,2,4,3,24,29,44,38,25,23,8,3
889,20170908,20170908-1646-1521,SOUTH ALA.,154,1646,SOUTH ALA.,7,1521,OKLAHOMA ST.,44,259,561,134,342,41,163,2,0,3,4,24,41,27,37,12,29,1,8
889,20170909,20170909-1047-1009,BALL ST.,179,1047,BALL ST.,51,1009,UAB,31,622,675,217,168,160,336,0,2,4,9,35,24,44,49,24,24,8,5
889,20170909,20170909-1147-1037,CLEMSON,160,1147,CLEMSON,14,1037,AUBURN,6,319,190,185,79,96,38,2,0,8,5,31,24,36,42,18,13,2,2
889,20170909,20170909-1754-1066,WASHINGTON ST.,200,1754,WASHINGTON ST.,47,1066,BOISE ST.,44,542,525,433,237,22,164,3,4,5,5,67,28,27,44,25,19,8,8
889,20170909,20170909-1725-1086,ARMY,131,1725,ARMY,21,1086,BUFFALO,17,442,355,17,193,322,119,0,2,5,3,8,16,66,23,19,11,3,3
889,20170909,20170909-1008-1096,ALABAMA,151,1008,ALABAMA,41,1096,FRESNO ST.,10,558,400,192,216,305,57,0,1,4,1,27,41,39,22,28,18,7,2
889,20170909,20170909-1328-1129,KANSAS,200,1328,KANSAS,27,1129,CENTRAL MICH.,45,542,670,323,467,147,123,2,1,9,9,62,37,34,35,29,26,5,7
889,20170909,20170909-1418-1140,MICHIGAN,169,1418,MICHIGAN,36,1140,CINCINNATI,14,561,213,221,132,193,68,2,2,7,4,29,40,37,30,16,13,6,2
889,20170909,20170909-1768-1196,WEST VIRGINIA,192,1768,WEST VIRGINIA,56,1196,EAST CAROLINA,20,726,559,403,328,211,142,0,2,4,8,34,47,47,32,30,21,8,4
889,20170909,20170909-1587-1204,RUTGERS,174,1587,RUTGERS,13,1204,EASTERN MICH.,16,412,489,198,260,128,114,2,1,9,9,38,37,30,35,15,19,3,4
889,20170909,20170909-1796-1229,WISCONSIN,168,1796,WISCONSIN,31,1229,FLA. ATLANTIC,14,593,309,207,142,357,106,2,0,1,8,30,19,54,35,29,9,5,2
889,20170909,20170909-1513-1257,NOTRE DAME,188,1513,NOTRE DAME,19,1257,GEORGIA,20,346,458,210,141,55,185,2,2,8,12,40,29,37,43,18,16,5,4
889,20170909,20170909-1110-1277,UCLA,162,1110,UCLA,56,1277,HAWAII,23,655,586,373,234,132,281,0,1,10,8,29,39,26,42,25,25,8,3
889,20170909,20170909-1029-1288,ARIZONA,172,1029,ARIZONA,16,1288,HOUSTON,19,401,494,219,225,152,158,2,2,4,10,37,32,39,37,21,18,4,3
889,20170909,20170909-1746-1306,VIRGINIA,194,1746,VIRGINIA,17,1306,INDIANA,34,371,471,259,197,55,111,0,1,5,7,66,30,25,41,22,19,3,6
889,20170909,20170909-1311-1312,IOWA ST.,188,1311,IOWA ST.,41,1312,IOWA,44,555,623,347,333,120,164,1,0,2,10,46,41,26,41,22,29,7,7
